from,to,distance
256,73,1.78
256,76,1.78
258,73,1.78
258,76,1.78
65,73,1.78
65,76,1.78
82,33,0.8640000000000001
85,33,0.8640000000000001
33,273,1.022
33,40,1.022
187,256,1.153
187,258,1.153
187,65,1.153
188,256,1.153
188,258,1.153
188,65,1.153
269,187,0.136
269,188,0.136
34,187,0.136
34,188,0.136
163,168,0.295
163,91,0.295
89,168,0.295
89,91,0.295
193,169,0.33799999999999997
193,87,0.33799999999999997
88,169,0.33799999999999997
88,87,0.33799999999999997
7,8,0.341
7,86,0.341
84,8,0.341
84,86,0.341
1,0,0.336
1,93,0.336
92,0,0.336
92,93,0.336
160,111,0.295
160,120,0.295
111,159,0.6
120,159,0.6
159,151,0.337
159,181,0.337
104,126,1.495
121,104,2.016
130,127,3.645
127,127,0.0
317,325,0.922
158,157,1.771
331,156,2.068
8,193,3.082
8,88,3.082
86,193,3.082
86,88,3.082
168,1,3.383
168,92,3.383
91,1,3.383
91,92,3.383
209,7,3.753
209,84,3.753
210,7,3.753
210,84,3.753
0,357,3.375
0,95,3.375
93,357,3.375
93,95,3.375
162,209,1.341
162,210,1.341
165,209,1.341
165,210,1.341
357,164,1.329
357,166,1.329
95,164,1.329
95,166,1.329
338,162,0.496
338,165,0.496
164,344,0.486
164,96,0.486
166,344,0.486
166,96,0.486
344,343,0.231
344,97,0.231
96,343,0.231
96,97,0.231
343,333,7.58
97,333,7.58
333,332,0.257
139,137,0.18100000000000002
139,80,0.18100000000000002
79,137,0.18100000000000002
79,80,0.18100000000000002
137,338,5.195
80,338,5.195
10,139,3.862
10,79,3.862
332,330,2.0269999999999997
330,167,2.3080000000000003
167,328,0.478
167,260,0.478
265,10,3.695
328,327,0.152
328,261,0.152
260,327,0.152
260,261,0.152
279,265,0.18100000000000002
280,265,0.18100000000000002
327,148,1.047
261,148,1.047
83,279,1.008
83,280,1.008
148,81,0.035
203,326,0.20199999999999999
157,11,0.887
12,331,0.883
11,349,0.861
262,12,0.8590000000000001
349,294,4.522
295,262,4.511
294,296,0.263
296,297,1.412
297,303,0.47
226,295,2.155
303,305,2.119
186,226,2.122
305,306,1.036
230,186,1.042
306,312,1.964
249,230,1.9709999999999999
311,313,0.551
313,321,0.38
247,195,0.675
321,231,1.3630000000000002
322,247,1.744
231,329,1.318
325,322,1.25
329,197,3.5789999999999997
192,317,3.0039999999999996
329,103,4.115
100,319,3.155
100,197,4.099
100,36,6.996
35,17,1.5519999999999998
17,197,5.162000000000001
17,319,4.28
17,103,5.875
35,177,10.193999999999999
173,170,0.16399999999999998
177,189,0.835
20,173,0.925
170,140,1.932
140,134,0.63
353,222,0.233
224,318,0.41600000000000004
142,353,0.23199999999999998
316,142,0.151
318,315,0.606
143,316,0.445
314,143,1.15
315,310,1.3459999999999999
309,314,1.025
310,144,0.831
308,309,0.525
144,250,0.531
307,308,0.755
250,356,1.656
293,307,0.7490000000000001
292,293,0.5820000000000001
356,355,0.429
291,292,0.5539999999999999
355,207,0.634
286,288,0.617
288,112,0.95
112,147,0.502
301,300,0.508
147,304,1.131
304,152,0.496
290,289,0.139
289,301,1.4769999999999999
285,286,0.747
172,153,0.301
176,172,2.057
191,236,0.271
236,83,5.255
81,203,2.512
179,199,0.9940000000000001
152,302,0.5429999999999999
302,291,0.789
207,154,0.675
154,290,0.565
300,299,1.609
300,58,1.609
299,298,1.599
299,59,1.599
299,194,1.599
58,298,1.599
58,59,1.599
58,194,1.599
114,285,0.7559999999999999
69,285,0.7559999999999999
151,191,6.0360000000000005
181,191,6.0360000000000005
153,141,2.7569999999999997
312,131,2.986
312,132,2.986
131,311,1.218
132,311,1.218
195,249,4.066
189,160,4.676
141,20,4.274
273,276,0.182
273,41,0.182
40,276,0.182
40,41,0.182
276,175,1.44
276,37,1.44
41,175,1.44
41,37,1.44
255,269,1.185
255,34,1.185
38,269,1.185
38,34,1.185
175,202,0.628
175,39,0.628
37,202,0.628
37,39,0.628
225,255,0.7140000000000001
225,38,0.7140000000000001
42,255,0.7140000000000001
42,38,0.7140000000000001
202,205,0.5489999999999999
202,22,0.5489999999999999
39,205,0.5489999999999999
39,22,0.5489999999999999
52,225,1.278
52,42,1.278
53,225,1.278
53,42,1.278
205,206,0.6509999999999999
205,43,0.6509999999999999
22,206,0.6509999999999999
22,43,0.6509999999999999
206,60,0.445
206,61,0.445
43,60,0.445
43,61,0.445
212,52,0.44799999999999995
212,53,0.44799999999999995
44,52,0.44799999999999995
44,53,0.44799999999999995
60,213,0.589
60,45,0.589
61,213,0.589
61,45,0.589
98,212,0.588
98,44,0.588
101,212,0.588
101,44,0.588
213,214,0.888
213,47,0.888
45,214,0.888
45,47,0.888
217,238,0.753
217,50,0.753
48,238,0.753
48,50,0.753
214,217,0.379
214,48,0.379
47,217,0.379
47,48,0.379
105,98,2.099
105,101,2.099
106,98,2.099
106,101,2.099
238,239,0.895
238,51,0.895
50,239,0.895
50,51,0.895
239,241,0.319
239,66,0.319
51,241,0.319
51,66,0.319
240,105,0.96
240,106,0.96
25,105,0.96
25,106,0.96
241,244,0.813
241,54,0.813
66,244,0.813
66,54,0.813
108,240,1.13
108,25,1.13
109,240,1.13
109,25,1.13
244,245,0.5870000000000001
244,55,0.5870000000000001
54,245,0.5870000000000001
54,55,0.5870000000000001
245,246,0.34600000000000003
245,56,0.34600000000000003
55,246,0.34600000000000003
55,56,0.34600000000000003
348,108,0.45
348,109,0.45
57,108,0.45
57,109,0.45
248,348,1.2329999999999999
248,57,1.2329999999999999
62,348,1.2329999999999999
62,57,1.2329999999999999
46,348,1.2329999999999999
46,57,1.2329999999999999
49,348,1.2329999999999999
49,57,1.2329999999999999
246,251,1.8730000000000002
246,29,1.8730000000000002
56,251,1.8730000000000002
56,29,1.8730000000000002
251,215,0.348
251,216,0.348
29,215,0.348
29,216,0.348
252,248,1.3430000000000002
252,62,1.3430000000000002
252,46,1.3430000000000002
252,49,1.3430000000000002
67,248,1.3430000000000002
67,62,1.3430000000000002
67,46,1.3430000000000002
67,49,1.3430000000000002
253,252,0.941
253,67,0.941
68,252,0.941
68,67,0.941
215,218,0.9420000000000001
215,219,0.9420000000000001
216,218,0.9420000000000001
216,219,0.9420000000000001
218,114,0.847
218,69,0.847
219,114,0.847
219,69,0.847
298,253,0.73
298,68,0.73
59,253,0.73
59,68,0.73
194,253,0.73
194,68,0.73
127,133,0.252
133,122,1.965
123,121,2.371
122,115,2.8810000000000002
116,123,2.875
115,233,5.355
233,138,0.586
233,259,0.586
134,116,5.382000000000001
138,177,2.1830000000000003
259,177,2.1830000000000003
